Date,Price,Open_1,High_1,Low_1
"May 06, 2016",459.6,445.8,449.2,444.4
"May 07, 2016",458.5,448.1,461.5,445.7
"May 08, 2016",457.9,459.6,460.6,454.6
"May 09, 2016",460.4,458.5,460.2,454.9
"May 10, 2016",449.4,457.9,464.2,455.4
"May 11, 2016",452.5,460.4,462.1,446.8
"May 12, 2016",454.4,449.4,456.1,449.6
"May 13, 2016",455.4,452.5,455.3,448.4
"May 14, 2016",456.4,454.4,457.2,451.5
"May 15, 2016",458.1,455.4,457.7,453.6
"May 16, 2016",454.9,456.4,460.3,455
"May 17, 2016",453.3,458.1,459.6,450.7
"May 18, 2016",454.2,454.9,456.3,451.7
"May 19, 2016",442.7,453.3,456.6,452.4
"May 20, 2016",442.1,454.2,455.2,441.1
"May 21, 2016",443.6,442.7,447.8,435.4
"May 22, 2016",439.6,442.1,445.2,439.7
"May 23, 2016",443.7,443.6,444.2,436.9
"May 24, 2016",446.1,439.6,445,438.2
"May 25, 2016",449.8,443.7,447.9,442
"May 26, 2016",453.3,446.1,451.2,445.4
"May 27, 2016",474,449.8,454.3,447.7
"May 28, 2016",524.2,453.3,479.2,452.7
"May 29, 2016",516,474,531.8,467
"May 30, 2016",532.3,524.2,548,493.2
"May 31, 2016",528.9,516,544.2,512.8
"Jun 01, 2016",537.4,532.3,546.9,513.2
"Jun 02, 2016",537.1,528.9,542.3,521.3
"Jun 03, 2016",567,537.4,541.5,530.5
"Jun 04, 2016",572,537.1,573.7,534.3
"Jun 05, 2016",574.9,567,592.7,560.9
"Jun 06, 2016",583.6,572,583.6,567.8
"Jun 07, 2016",575.6,574.9,586.7,571.7
"Jun 08, 2016",580.5,583.6,591.3,543.6
"Jun 09, 2016",574.7,575.6,582.4,567.8
"Jun 10, 2016",577.9,580.5,580.7,569.3
"Jun 11, 2016",591.6,574.7,579.3,571.1
"Jun 12, 2016",666.5,577.9,592.6,576.3
"Jun 13, 2016",700.1,591.6,683.8,592.8
"Jun 14, 2016",685.1,666.5,718.2,652.8
"Jun 15, 2016",690.8,700.1,702.5,654.7
"Jun 16, 2016",761.2,685.1,695.1,670.5
"Jun 17, 2016",743.9,690.8,769.7,687.4
"Jun 18, 2016",753.8,761.2,771.9,704.2
"Jun 19, 2016",761,743.9,776,727.1
"Jun 20, 2016",734,753.8,765.1,740.4
"Jun 21, 2016",667.4,761,764.6,717.4
"Jun 22, 2016",590.6,734,732.2,626
"Jun 23, 2016",620.8,667.4,677.8,586.6
"Jun 24, 2016",656.9,590.6,629.5,539.3
"Jun 25, 2016",663.5,620.8,687.4,616.4
"Jun 26, 2016",625.4,656.9,688.1,640.8
"Jun 27, 2016",644.7,663.5,665.2,609.9
"Jun 28, 2016",644.9,625.4,650.3,615.2
"Jun 29, 2016",636.5,644.7,659.3,634.3
"Jun 30, 2016",670,644.9,645.9,621.8
"Jul 01, 2016",674.6,636.5,673,631.2
"Jul 02, 2016",698.1,670,685.1,661.1
"Jul 03, 2016",661.6,674.6,700.5,671.5
"Jul 04, 2016",675.2,698.1,701.5,644.6
"Jul 05, 2016",663.7,661.6,679,644
"Jul 06, 2016",672.7,675.2,679.2,657.3
"Jul 07, 2016",635.3,663.7,678.4,662.2
"Jul 08, 2016",662.8,672.7,676.2,605
"Jul 09, 2016",651.8,635.3,663.4,630.2
"Jul 10, 2016",647.1,662.8,663.5,620.7
"Jul 11, 2016",646.7,651.8,652,636.8
"Jul 12, 2016",670.6,647.1,657.5,640
"Jul 13, 2016",661.2,646.7,673.2,644.6
"Jul 14, 2016",657.3,670.6,672,656
"Jul 15, 2016",664.2,661.2,661.9,646.3
"Jul 16, 2016",660.7,657.3,667.5,656.5
"Jul 17, 2016",676.3,664.2,665.4,655.7
"Jul 18, 2016",670.4,660.7,680.9,660.1
"Jul 19, 2016",671.1,676.3,680.4,664.6
"Jul 20, 2016",664.4,670.4,673.2,663.6
"Jul 21, 2016",664.6,671.1,672.3,659.5
"Jul 22, 2016",651.1,664.4,666.5,657.8
"Jul 23, 2016",655.2,664.6,669.4,645.7
"Jul 24, 2016",659.3,651.1,658.2,648
"Jul 25, 2016",654,655.2,664.2,651
"Jul 26, 2016",654.4,659.3,662.5,651.1
"Jul 27, 2016",654.5,654,657.8,643.5
"Jul 28, 2016",654.1,654.4,659.1,646
"Jul 29, 2016",655.4,654.5,658,650.8
"Jul 30, 2016",654.7,654.1,657.4,651
"Jul 31, 2016",621.9,655.4,657.5,652.1
"Aug 01, 2016",607,654.7,654.9,621.4
"Aug 02, 2016",513.4,621.9,627.9,603.5
"Aug 03, 2016",566.4,607,613.8,471.4
"Aug 04, 2016",576.2,513.4,573.1,514.1
"Aug 05, 2016",574.7,566.4,584.9,559.5
"Aug 06, 2016",586.5,576.2,580,565.8
"Aug 07, 2016",590.8,574.7,596.7,565.3
"Aug 08, 2016",589.2,586.5,596,580.9
"Aug 09, 2016",585.3,590.8,594.2,585.4
"Aug 10, 2016",590.9,589.2,591.2,581.1
"Aug 11, 2016",587.8,585.3,600.5,580.9
"Aug 12, 2016",587.1,590.9,599.2,585.4
"Aug 13, 2016",584.6,587.8,591.1,582.2
"Aug 14, 2016",569.1,587.1,590.1,582.8
"Aug 15, 2016",567,584.6,585.8,559.9
"Aug 16, 2016",580.2,569.1,575,559.3
"Aug 17, 2016",572.3,567,583.4,563.4
"Aug 18, 2016",573.4,580.2,581.1,568.7
"Aug 19, 2016",574.6,572.3,579.5,570.8
"Aug 20, 2016",582.6,573.4,577.9,566.3
"Aug 21, 2016",580.7,574.6,583.5,572.3
"Aug 22, 2016",587.5,582.6,585.3,577.8
"Aug 23, 2016",583.6,580.7,591.9,577.1
"Aug 24, 2016",579.7,587.5,589.9,578.6
"Aug 25, 2016",578,583.6,584.5,576.8
"Aug 26, 2016",579.4,579.7,580.7,570.8
"Aug 27, 2016",570.3,578,582.7,575.8
"Aug 28, 2016",575,579.4,580.4,567.3
"Aug 29, 2016",574.2,570.3,576.3,569.2
"Aug 30, 2016",577.3,575,578.6,571.4
"Aug 31, 2016",573.9,574.2,579.9,572.5
"Sep 01, 2016",572,577.3,578.3,571.7
"Sep 02, 2016",575.3,573.9,705,569.4
"Sep 03, 2016",598.8,572,577.6,569.3
"Sep 04, 2016",609.5,575.3,605,572.6
"Sep 05, 2016",605.8,598.8,615.2,590.8
"Sep 06, 2016",610.4,609.5,610.6,598.8
"Sep 07, 2016",613.2,605.8,612,603.5
"Sep 08, 2016",625.6,610.4,616.5,606.2
"Sep 09, 2016",623.2,613.2,629.3,611.3
"Sep 10, 2016",624.5,625.6,627.6,617.3
"Sep 11, 2016",605.6,623.2,627.5,621.1
